"id","agegroup","trialnum","horizons","config","reward_posA","reward_posB","reward_posC","reward_posD","state_posA","state_posB","state_posC","state_posD","reward_colour","smallest","med","large","largest","horizons_known","freechoice_resp.clicked_name","reward_trial","reward_gain","info_gain","reward_total","date","expName","info_gain_list","reward_gain_list","reward_max","reward_gain1","reward_gain2","reward_gain3","reward_gain4","agegroup11","agegroupa","agegroup5","info_gainX","horizons_all","h_long","h_short","h_amb","maxIndex","maxState","max_choice","reward_exploit","exploreIndex","reward_explore","reward_gain_max","uniqueRewards","reward_max_sum","reward_max_avg","largestSeen","largestSeen_sum","largestSeen_avg","exploitMaxAvgDiff","prevExploreReward","choice1","choice2","choice3","choice4","searchPattern","choice_num","explore","prop_max_reward","max_reward_selected","largestVisible","exploit","other","choiceType","choice1_exploitOnly","choice2_exploreFirstThenExploit","choice3_exploreFirstMixed","choice4_exploreFirstSampleRest","choice5_sampleAll","choice6_misc"
"SearchCosts-5_S001","5",8,4,"G","0.67"," 2.293075"," 3.78357375"," 1.2395","0"," 1"," -1"," 0","brown",0.67,1.2395,2.293075,3.78357375,0,"['free_choice_targetc', 'free_choice_targetd', 'free_choice_targeta', 'free_choice_targetc']",11.3861475,1.2395,"[0, 0, 0, 0]",149.9521675,"2019_Jul_24_1413","TimeSearch_190603","[0, 0, 0, 0]","[3.78357375, 1.2395, 0.67, 3.78357375]",15.134295,3.78357375,1.2395,0.67,3.78357375,0,0,1,NA,0,0,0,1,3,-1,"exploit",3.78357375,2,2.293075,3.78357375,3,36.30942875,4.53867859375,3.78357375,36.30942875,4.53867859375,-0.75510484375,7.383075,"exploit","other","other","exploit","exploit, other, other, exploit","2",0,1,1,3.78357375,0,1,"other",0,0,0,0,0,0
"SearchCosts-5_S001","5",8,4,"G","0.67"," 2.293075"," 3.78357375"," 1.2395","0"," 1"," -1"," 0","brown",0.67,1.2395,2.293075,3.78357375,0,"['free_choice_targetc', 'free_choice_targetd', 'free_choice_targeta', 'free_choice_targetc']",11.3861475,0.67,"[0, 0, 0, 0]",149.9521675,"2019_Jul_24_1413","TimeSearch_190603","[0, 0, 0, 0]","[3.78357375, 1.2395, 0.67, 3.78357375]",15.134295,3.78357375,1.2395,0.67,3.78357375,0,0,1,NA,0,0,0,1,3,-1,"exploit",3.78357375,2,2.293075,3.78357375,3,36.30942875,4.53867859375,3.78357375,36.30942875,4.53867859375,-0.75510484375,7.383075,"exploit","other","other","exploit","exploit, other, other, exploit","3",0,1,1,3.78357375,0,1,"other",0,0,0,0,0,0
"SearchCosts-5_S001","5",8,4,"G","0.67"," 2.293075"," 3.78357375"," 1.2395","0"," 1"," -1"," 0","brown",0.67,1.2395,2.293075,3.78357375,0,"['free_choice_targetc', 'free_choice_targetd', 'free_choice_targeta', 'free_choice_targetc']",11.3861475,3.78357375,"[0, 0, 0, 0]",149.9521675,"2019_Jul_24_1413","TimeSearch_190603","[0, 0, 0, 0]","[3.78357375, 1.2395, 0.67, 3.78357375]",15.134295,3.78357375,1.2395,0.67,3.78357375,0,0,1,NA,0,0,0,1,3,-1,"exploit",3.78357375,2,2.293075,3.78357375,3,36.30942875,4.53867859375,3.78357375,36.30942875,4.53867859375,-0.75510484375,7.383075,"exploit","other","other","exploit","exploit, other, other, exploit","4",0,1,1,3.78357375,1,0,"exploit",0,0,0,0,0,0
"SearchCosts-5_S001","5",9,1,"F","0.54"," 3.564"," 1.188"," 2.376","0"," 0"," -1"," 1","blue",0.54,1.188,2.376,3.564,0,"['free_choice_targetb']",7.668,3.564,"[0]",157.6201675,"2019_Jul_24_1413","TimeSearch_190603","[0]","[3.564]",3.564,3.564,NA,NA,NA,0,0,1,NA,0,0,0,1,2,0,"exploit",3.564,4,2.376,3.564,1,39.87342875,4.43038097222222,3.564,39.87342875,4.43038097222222,-0.866380972222222,2.293075,"exploit",NA,NA,NA,"exploit, NA, NA, NA","1",0,1,1,3.564,1,0,"exploit",0,0,0,0,0,0
"SearchCosts-5_S001","5",10,4,"G","0.49"," 3.55005"," 1.97225"," 0.8575","-1"," 1"," 0"," 0","magenta",0.49,0.8575,1.97225,3.55005,1,"['free_choice_targetc', 'free_choice_targetd', 'free_choice_targeta', 'free_choice_targetc']",8.12175,1.97225,"[0, 0, 0, 0]",165.7419175,"2019_Jul_24_1413","TimeSearch_190603","[0, 0, 0, 0]","[1.97225, 0.8575, 0.49, 1.97225]",14.2002,1.97225,0.8575,0.49,1.97225,0,0,1,NA,4,1,0,0,2,1,"explore",1.97225,2,3.55005,1.97225,3,41.84567875,4.184567875,1.97225,41.84567875,4.184567875,-2.212317875,2.376,"exploit","other","other","exploit","exploit, other, other, exploit","1",0,0.555555555555556,0,1.97225,1,0,"exploit",0,0,0,0,0,1
"SearchCosts-5_S001","5",10,4,"G","0.49"," 3.55005"," 1.97225"," 0.8575","-1"," 1"," 0"," 0","magenta",0.49,0.8575,1.97225,3.55005,1,"['free_choice_targetc', 'free_choice_targetd', 'free_choice_targeta', 'free_choice_targetc']",8.12175,0.8575,"[0, 0, 0, 0]",165.7419175,"2019_Jul_24_1413","TimeSearch_190603","[0, 0, 0, 0]","[1.97225, 0.8575, 0.49, 1.97225]",14.2002,1.97225,0.8575,0.49,1.97225,0,0,1,NA,4,1,0,0,2,1,"explore",1.97225,2,3.55005,1.97225,3,41.84567875,4.184567875,1.97225,41.84567875,4.184567875,-2.212317875,2.376,"exploit","other","other","exploit","exploit, other, other, exploit","2",0,0.555555555555556,0,1.97225,0,1,"other",0,0,0,0,0,1
"SearchCosts-5_S001","5",10,4,"G","0.49"," 3.55005"," 1.97225"," 0.8575","-1"," 1"," 0"," 0","magenta",0.49,0.8575,1.97225,3.55005,1,"['free_choice_targetc', 'free_choice_targetd', 'free_choice_targeta', 'free_choice_targetc']",8.12175,0.49,"[0, 0, 0, 0]",165.7419175,"2019_Jul_24_1413","TimeSearch_190603","[0, 0, 0, 0]","[1.97225, 0.8575, 0.49, 1.97225]",14.2002,1.97225,0.8575,0.49,1.97225,0,0,1,NA,4,1,0,0,2,1,"explore",1.97225,2,3.55005,1.97225,3,41.84567875,4.184567875,1.97225,41.84567875,4.184567875,-2.212317875,2.376,"exploit","other","other","exploit","exploit, other, other, exploit","3",0,0.555555555555556,0,1.97225,0,1,"other",0,0,0,0,0,1
"SearchCosts-5_S001","5",10,4,"G","0.49"," 3.55005"," 1.97225"," 0.8575","-1"," 1"," 0"," 0","magenta",0.49,0.8575,1.97225,3.55005,1,"['free_choice_targetc', 'free_choice_targetd', 'free_choice_targeta', 'free_choice_targetc']",8.12175,1.97225,"[0, 0, 0, 0]",165.7419175,"2019_Jul_24_1413","TimeSearch_190603","[0, 0, 0, 0]","[1.97225, 0.8575, 0.49, 1.97225]",14.2002,1.97225,0.8575,0.49,1.97225,0,0,1,NA,4,1,0,0,2,1,"explore",1.97225,2,3.55005,1.97225,3,41.84567875,4.184567875,1.97225,41.84567875,4.184567875,-2.212317875,2.376,"exploit","other","other","exploit","exploit, other, other, exploit","4",0,0.555555555555556,0,1.97225,1,0,"exploit",0,0,0,0,0,1
"SearchCosts-5_S001","5",11,4,"G","5.27904"," 0.78"," 1.248"," 2.9328","-1"," 0"," 1"," 0","bluedark",0.78,1.248,2.9328,5.27904,1,"['free_choice_targeta', 'free_choice_targetd', 'free_choice_targetb', 'free_choice_targeta']",17.98368,5.27904,"[0, 0, 0, 0]",183.7255975,"2019_Jul_24_1413","TimeSearch_190603","[0, 0, 0, 0]","[5.27904, 2.9328, 0.78, 5.27904]",21.11616,5.27904,2.9328,0.78,5.27904,0,0,1,NA,4,1,0,0,1,-1,"exploit",5.27904,3,1.248,5.27904,3,47.12471875,4.28406534090909,5.27904,47.12471875,4.28406534090909,0.994974659090909,3.55005,"exploit","other","other","exploit","exploit, other, other, exploit","1",0,1,1,5.27904,1,0,"exploit",0,0,0,0,0,1
"SearchCosts-5_S001","5",11,4,"G","5.27904"," 0.78"," 1.248"," 2.9328","-1"," 0"," 1"," 0","bluedark",0.78,1.248,2.9328,5.27904,1,"['free_choice_targeta', 'free_choice_targetd', 'free_choice_targetb', 'free_choice_targeta']",17.98368,2.9328,"[0, 0, 0, 0]",183.7255975,"2019_Jul_24_1413","TimeSearch_190603","[0, 0, 0, 0]","[5.27904, 2.9328, 0.78, 5.27904]",21.11616,5.27904,2.9328,0.78,5.27904,0,0,1,NA,4,1,0,0,1,-1,"exploit",5.27904,3,1.248,5.27904,3,47.12471875,4.28406534090909,5.27904,47.12471875,4.28406534090909,0.994974659090909,3.55005,"exploit","other","other","exploit","exploit, other, other, exploit","2",0,1,1,5.27904,0,1,"other",0,0,0,0,0,1
